state,city,neighborhood,street,price,area,rooms,bathrooms,garage,number,done,furnished,type
3,9,42,68,580000.0,140.0,3.0,1.0,1.0,2939.0,2,0,5
3,9,5,195,225000.0,60.0,2.0,1.0,1.0,159.0,2,0,0
3,9,42,66,380000.0,60.0,2.0,2.0,1.0,,2,0,0
3,9,19,10,250000.0,58.0,2.0,1.0,1.0,,2,0,0
3,9,14,380,2400000.0,173.0,4.0,6.0,3.0,,2,0,0
3,9,49,66,475000.0,121.0,3.0,2.0,1.0,911.0,2,0,0
3,9,19,657,180000.0,75.0,2.0,1.0,1.0,,2,0,0
3,9,17,264,225000.0,60.0,2.0,1.0,1.0,,2,0,0
3,9,7,328,370000.0,90.0,3.0,1.0,1.0,,2,0,0
3,9,50,776,1380000.0,172.0,4.0,3.0,1.0,,2,0,0
3,9,13,233,198000.0,38.0,1.0,1.0,1.0,184.0,2,0,20
3,9,13,552,315000.0,71.0,2.0,1.0,1.0,51.0,2,0,0
3,9,48,432,995000.0,150.0,4.0,2.0,3.0,80.0,2,0,1
3,9,48,432,995000.0,150.0,4.0,2.0,3.0,80.0,2,0,1
3,9,21,404,1500000.0,140.0,4.0,3.0,2.0,250.0,2,0,0
3,9,60,756,,96.0,2.0,2.0,1.0,548.0,1,0,0
3,9,21,300,,79.0,1.0,1.0,1.0,9.0,2,0,0
3,9,19,262,160000.0,75.0,2.0,2.0,1.0,,2,0,0
3,9,42,68,341000.0,75.0,2.0,2.0,1.0,2939.0,2,0,0
3,9,50,756,780000.0,180.0,3.0,3.0,2.0,100.0,2,0,1
3,9,6,91,580000.0,162.0,3.0,3.0,2.0,77.0,2,0,1
3,9,19,185,310000.0,56.0,2.0,1.0,1.0,0.0,2,0,0
3,9,21,549,1100000.0,154.0,3.0,5.0,3.0,101.0,2,0,0
3,9,16,207,590000.0,111.0,3.0,2.0,2.0,10.0,2,0,2
3,9,16,207,590000.0,111.0,3.0,2.0,2.0,10.0,2,0,2
3,9,26,287,1200000.0,180.0,4.0,5.0,2.0,85.0,2,0,1
3,9,7,328,400000.0,76.0,2.0,1.0,1.0,500.0,2,0,0
3,9,13,552,389000.0,71.0,2.0,1.0,1.0,,2,0,0
