state,city,neighborhood,street,price,area,rooms,bathrooms,garage,description,url,number,done,furnished,type
RJ,NITEROI,ICARAI,AVENIDA JORNALISTA ALBERTO FRANCISCO TORRES,7200000.0,320,4,6,4,null,www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-icarai-niteroi-rj-320m2-id-2685066093,85,2,0,APARTAMENTO
RJ,NITEROI,SERRA GRANDE,RUA DAS AMETISTAS,1378000.0,270,5,4,11,null,www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-churrasqueira-serra-grande-niteroi-270m2-id-2628737199,null,2,0,CASA
RJ,NITEROI,PIRATININGA,ESTRADA FRANCISCO DA CRUZ NUNES,297000.0,33,null,1,null,null,www.zapimoveis.com.br/imovel/venda-loja-salao-com-cozinha-piratininga-niteroi-33m2-id-2676601000,8252,2,0,PONTO COMERCIAL/LOJA/BOX
RJ,NITEROI,ITAIPU,RUA JURITI,980000.0,350,3,1,1,null,www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-itaipu-niteroi-350m2-id-2612114446,2222,2,0,CASA
RJ,NITEROI,BOA VIAGEM,AVENIDA ALMIRANTE BENJAMIN SODRE,3000000.0,300,4,4,3,null,www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-boa-viagem-niteroi-300m2-id-2568676393,null,2,0,APARTAMENTO
RJ,NITEROI,ICARAI,RUA MARIO ALVES,580000.0,85,2,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-icarai-niteroi-85m2-id-2627579871,null,2,0,APARTAMENTO
RJ,NITEROI,ICARAI,AVENIDA JORNALISTA ALBERTO FRANCISCO TORRES,1100000.0,140,4,3,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-ar-condicionado-icarai-niteroi-140m2-id-2656071353,null,2,0,APARTAMENTO
RJ,NITEROI,INGA,PRAIA JOAO CAETANO,2560000.0,230,4,2,2,null,www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-cozinha-inga-niteroi-230m2-id-2568638777,null,2,0,APARTAMENTO
RJ,NITEROI,CUBANGO,RUA NORONHA TORREZAO,260000.0,54,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-espaco-gourmet-santa-rosa-niteroi-54m2-id-2670998894,null,2,0,APARTAMENTO
RJ,NITEROI,INGA,RUA DOUTOR ARTUR TIBAU,370000.0,70,2,2,null,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-inga-niteroi-70m2-id-2545366436,null,2,0,APARTAMENTO
